date,pool_name,blocks_mined,share
2022-12-30,Foundry USA,35,0.22151898734177214
2022-12-30,Binance Pool,20,0.12658227848101267
2022-12-30,F2Pool,32,0.20253164556962025
2022-12-30,AntPool,29,0.18354430379746836
2022-12-30,BTC.com,7,0.04430379746835443
2022-12-30,Luxor,4,0.02531645569620253
2022-12-30,BTC M4,3,0.0189873417721519
2022-12-30,ViaBTC,19,0.12025316455696203
2022-12-30,SBI Crypto,4,0.02531645569620253
2022-12-30,Braiins Pool,5,0.03164556962025317
2022-12-31,AntPool,24,0.15384615384615385
2022-12-31,Foundry USA,51,0.3269230769230769
2022-12-31,Braiins Pool,9,0.057692307692307696
2022-12-31,Binance Pool,14,0.08974358974358974
2022-12-31,Mara Pool,3,0.019230769230769232
2022-12-31,F2Pool,23,0.14743589743589744
2022-12-31,Unknown,5,0.03205128205128205
2022-12-31,Poolin,1,0.00641025641025641
2022-12-31,ViaBTC,11,0.07051282051282051
2022-12-31,SBI Crypto,4,0.02564102564102564
2022-12-31,Luxor,3,0.019230769230769232
2022-12-31,Ultimus,3,0.019230769230769232
2022-12-31,BTC.com,5,0.03205128205128205
2023-01-01,BTC M4,1,0.0064516129032258064
2023-01-01,Titan,1,0.0064516129032258064
2023-01-01,Mara Pool,2,0.012903225806451613
2023-01-01,Unknown,3,0.01935483870967742
2023-01-01,ViaBTC,15,0.0967741935483871
2023-01-01,Ultimus,3,0.01935483870967742
2023-01-01,SBI Crypto,4,0.025806451612903226
2023-01-01,Poolin,2,0.012903225806451613
2023-01-01,AntPool,31,0.2
2023-01-01,Braiins Pool,6,0.03870967741935484
2023-01-01,Binance Pool,15,0.0967741935483871
2023-01-01,BTC.com,9,0.05806451612903226
2023-01-01,Luxor,2,0.012903225806451613
2023-01-01,Foundry USA,40,0.25806451612903225
2023-01-01,F2Pool,21,0.13548387096774195
2023-01-02,Unknown,5,0.03205128205128205
2023-01-02,Luxor,1,0.00641025641025641
2023-01-02,F2Pool,24,0.15384615384615385
