date,miner_id,pool_name,daily_share,cost_usd_per_day
2022-12-29,9,BTC.com,0.0070921986,73986.5625625963
2022-12-29,0,Foundry USA,0.2695035461,2811489.3700761842
2022-12-29,8,Braiins Pool,0.0354609929,369932.8117697708
2022-12-29,6,Mara Pool,0.0141843972,147973.1251251925
2022-12-29,7,SBI Crypto,0.0283687943,295946.2492071745
2022-12-29,10,Poolin,0.0141843972,147973.1251251925
2022-12-29,3,ViaBTC,0.0851063830,887838.7486647341
2022-12-30,0,Foundry USA,0.2215189873,2302061.1245247261
2022-12-30,5,Binance Pool,0.1265822785,1315463.5001737932
2022-12-30,4,F2Pool,0.2025316456,2104741.6002780693
2022-12-30,1,AntPool,0.1835443038,1907422.0749921962
2022-12-30,9,BTC.com,0.0443037975,460412.2253206316
2022-12-30,11,BTC M4,0.0189873418,197319.5252858730
2022-12-30,3,ViaBTC,0.1202531646,1249690.3254249075
2022-12-30,7,SBI Crypto,0.0253164557,263092.7000347587
2022-12-30,8,Braiins Pool,0.0316455696,328865.8747836443
2022-12-31,1,AntPool,0.1538461538,1596958.3271205504
2022-12-31,0,Foundry USA,0.3269230769,3393536.4459096873
2022-12-31,8,Braiins Pool,0.0576923077,598859.3729297122
2022-12-31,5,Binance Pool,0.0897435897,931559.0239806507
2022-12-31,6,Mara Pool,0.0192307692,199619.7906305631
2022-12-31,4,F2Pool,0.1474358974,1530418.3969103626
2022-12-31,2,Unknown,0.0320512821,332699.6520889614
2022-12-31,10,Poolin,0.0064102564,66539.9302101877
2022-12-31,3,ViaBTC,0.0705128205,731939.2333500877
2022-12-31,7,SBI Crypto,0.0256410256,266159.7208407508
2022-12-31,9,BTC.com,0.0320512821,332699.6520889614
2023-01-01,11,BTC M4,0.0064516129,66622.0093776405
2023-01-01,6,Mara Pool,0.0129032258,133244.0187552811
2023-01-01,2,Unknown,0.0193548387,199866.0281329216
2023-01-01,3,ViaBTC,0.0967741935,999330.1406646080
2023-01-01,7,SBI Crypto,0.0258064516,266488.0375105621
2023-01-01,10,Poolin,0.0129032258,133244.0187552811
2023-01-01,1,AntPool,0.2000000000,2065282.2917394978
2023-01-01,8,Braiins Pool,0.0387096774,399732.0562658432
2023-01-01,5,Binance Pool,0.0967741935,999330.1406646080
2023-01-01,9,BTC.com,0.0580645161,599598.0843987648
2023-01-01,0,Foundry USA,0.2580645161,2664880.3761382625
2023-01-01,4,F2Pool,0.1354838710,1399062.1979630925
2023-01-02,2,Unknown,0.0320512821,329510.5153630472
2023-01-02,4,F2Pool,0.1538461538,1581650.4708640224
2023-01-02,8,Braiins Pool,0.0384615385,395412.6182300420
2023-01-02,9,BTC.com,0.0192307692,197706.3086009846
2023-01-02,7,SBI Crypto,0.0064102564,65902.1028669949
2023-01-02,6,Mara Pool,0.0192307692,197706.3086009846
2023-01-02,3,ViaBTC,0.1089743590,1120335.7507950584
2023-01-02,10,Poolin,0.0320512821,329510.5153630472
2023-01-02,1,AntPool,0.1987179487,2042965.1919610596
2023-01-02,5,Binance Pool,0.0897435897,922629.4411660010
2023-01-02,0,Foundry USA,0.2948717949,3031496.7370221280
2023-01-03,0,Foundry USA,0.2792207792,2857264.2036129083
2023-01-03,5,Binance Pool,0.1168831169,1196064.0854950848
2023-01-03,1,AntPool,0.2077922078,2126336.1517638620
2023-01-03,4,F2Pool,0.1753246753,1794096.1277309777
2023-01-03,10,Poolin,0.0194805195,199344.0144197307
2023-01-03,9,BTC.com,0.0649350649,664480.0470424697
2023-01-03,7,SBI Crypto,0.0064935065,66448.0048065769
2023-01-03,8,Braiins Pool,0.0259740260,265792.0192263076
2023-01-03,11,BTC M4,0.0064935065,66448.0048065769
2023-01-03,3,ViaBTC,0.0844155844,863824.0614622002
2023-01-04,0,Foundry USA,0.3006993007,3054923.8704852923
2023-01-04,3,ViaBTC,0.0839160839,852536.8939235331
2023-01-04,1,AntPool,0.1748251748,1776118.5290920227
2023-01-04,4,F2Pool,0.1118881119,1136715.8589033575
2023-01-04,11,BTC M4,0.0069930070,71044.7412449561
2023-01-04,9,BTC.com,0.0139860140,142089.4824899122
2023-01-04,8,Braiins Pool,0.0489510490,497313.1887146927
2023-01-04,10,Poolin,0.0349650350,355223.7062247804
2023-01-04,6,Mara Pool,0.0209790210,213134.2237348683
2023-01-04,2,Unknown,0.0139860140,142089.4824899122
2023-01-04,5,Binance Pool,0.1538461538,1562984.3053571542
2023-01-04,7,SBI Crypto,0.0209790210,213134.2237348683
2023-01-05,7,SBI Crypto,0.0063694268,64290.1911305859
2023-01-05,5,Binance Pool,0.1019108280,1028643.0500145269
2023-01-05,4,F2Pool,0.1464968153,1478674.3849005606
2023-01-05,10,Poolin,0.0254777070,257160.7625036317
2023-01-05,1,AntPool,0.2038216561,2057286.1010384101
2023-01-05,9,BTC.com,0.0573248408,578611.7161378495
2023-01-05,3,ViaBTC,0.0764331210,771482.2875108954
2023-01-05,0,Foundry USA,0.2866242038,2893058.5786705352
2023-01-05,8,Braiins Pool,0.0191082803,192870.5723824018
2023-01-05,6,Mara Pool,0.0127388535,128580.3812518159
2023-01-05,11,BTC M4,0.0063694268,64290.1911305859
2023-01-06,0,Foundry USA,0.2833333333,2841872.5133082867
2023-01-06,4,F2Pool,0.1777777778,1783135.6950574801
2023-01-06,12,Kucoin,0.0055555556,55722.9909093648
2023-01-06,6,Mara Pool,0.0388888889,390060.9333565121
2023-01-06,3,ViaBTC,0.1055555556,1058736.8192538205
2023-01-06,8,Braiins Pool,0.0444444444,445783.9232628631
2023-01-06,1,AntPool,0.2222222222,2228919.6183203431
2023-01-06,5,Binance Pool,0.0500000000,501506.9141722279
2023-01-06,10,Poolin,0.0333333333,334337.9424471473
2023-01-06,7,SBI Crypto,0.0166666667,167168.9717250806
2023-01-06,9,BTC.com,0.0055555556,55722.9909093648
2023-01-07,7,SBI Crypto,0.0129870130,129310.3323804072
2023-01-07,3,ViaBTC,0.1103896104,1099137.8242377716
2023-01-07,8,Braiins Pool,0.0389610390,387930.9971412215
2023-01-07,5,Binance Pool,0.0584415584,581896.4947161428
2023-01-07,9,BTC.com,0.0194805195,193965.4985706108
2023-01-07,6,Mara Pool,0.0129870130,129310.3323804072
2023-01-07,2,Unknown,0.0064935065,64655.1661902036
2023-01-07,1,AntPool,0.2337662338,2327585.9808559502
2023-01-07,10,Poolin,0.0259740260,258620.6647608144
2023-01-07,0,Foundry USA,0.2987012987,2974137.6417622967
2023-01-07,4,F2Pool,0.1558441558,1551723.9865735071
2023-01-08,0,Foundry USA,0.3006535948,2977862.1825574813
2023-01-08,1,AntPool,0.1895424837,1877347.8979145996
2023-01-08,9,BTC.com,0.0326797386,323680.6723616264
2023-01-08,5,Binance Pool,0.0980392157,971042.0160944163
2023-01-08,2,Unknown,0.0065359477,64736.1342742327
2023-01-08,12,Kucoin,0.0065359477,64736.1342742327
2023-01-08,10,Poolin,0.0065359477,64736.1342742327
2023-01-08,11,BTC M4,0.0130718954,129472.2685484654
2023-01-08,6,Mara Pool,0.0065359477,64736.1342742327
2023-01-08,3,ViaBTC,0.0718954248,712097.4780070225
2023-01-08,8,Braiins Pool,0.0392156863,388416.8066358591
2023-01-08,4,F2Pool,0.2091503268,2071556.3007372981
2023-01-09,10,Poolin,0.0263157895,259173.4744382888
2023-01-09,6,Mara Pool,0.0263157895,259173.4744382888
2023-01-09,9,BTC.com,0.0197368421,194380.1055825018
2023-01-09,5,Binance Pool,0.0657894737,647933.6856032924
2023-01-09,2,Unknown,0.0197368421,194380.1055825018
2023-01-09,4,F2Pool,0.1842105263,1814214.3190983033
2023-01-09,1,AntPool,0.2302631579,2267767.8991190940
2023-01-09,3,ViaBTC,0.0657894737,647933.6856032924
2023-01-09,0,Foundry USA,0.2894736842,2850908.2158665997
2023-01-09,8,Braiins Pool,0.0263157895,259173.4744382888
2023-01-09,7,SBI Crypto,0.0065789474,64793.3688557870
2023-01-10,7,SBI Crypto,0.0118343195,116565.7032334595
2023-01-10,11,BTC M4,0.0059171598,58282.8521092198
2023-01-10,2,Unknown,0.0118343195,116565.7032334595
2023-01-10,10,Poolin,0.0236686391,233131.4074518991
2023-01-10,6,Mara Pool,0.0236686391,233131.4074518991
2023-01-10,12,Kucoin,0.0177514793,174848.5553426793
2023-01-10,0,Foundry USA,0.3076923077,3030708.2909648074
2023-01-10,1,AntPool,0.1420118343,1398788.4417564541
2023-01-10,4,F2Pool,0.1479289941,1457071.2938656739
2023-01-10,8,Braiins Pool,0.0532544379,524545.6660280379
2023-01-10,9,BTC.com,0.0118343195,116565.7032334595
2023-01-10,5,Binance Pool,0.1124260355,1107374.1831803152
2023-01-10,3,ViaBTC,0.0828402367,815959.9246041767
2023-01-11,12,Kucoin,0.0136054422,134057.7284875649
2023-01-11,1,AntPool,0.2108843537,2077894.7876159591
2023-01-11,4,F2Pool,0.1632653061,1608692.7388948062
2023-01-11,5,Binance Pool,0.0748299320,737317.5056962828
2023-01-11,9,BTC.com,0.0136054422,134057.7284875649
2023-01-11,8,Braiins Pool,0.0204081633,201086.5927313474
2023-01-11,2,Unknown,0.0204081633,201086.5927313474
2023-01-11,10,Poolin,0.0136054422,134057.7284875649
2023-01-11,7,SBI Crypto,0.0136054422,134057.7284875649
2023-01-11,6,Mara Pool,0.0136054422,134057.7284875649
2023-01-11,0,Foundry USA,0.2857142857,2815212.2933122423
2023-01-11,3,ViaBTC,0.1088435374,1072461.8259298708
2023-01-12,7,SBI Crypto,0.0066225166,65435.5101486393
2023-01-12,9,BTC.com,0.0198675497,196306.5294578416
2023-01-12,2,Unknown,0.0198675497,196306.5294578416
2023-01-12,4,F2Pool,0.1258278146,1243274.6849195366
2023-01-12,0,Foundry USA,0.3311258278,3271775.4856942873
2023-01-12,5,Binance Pool,0.0728476821,719790.6066946511
2023-01-12,11,BTC M4,0.0066225166,65435.5101486393
2023-01-12,1,AntPool,0.2052980132,2028500.8007747505
2023-01-12,6,Mara Pool,0.0066225166,65435.5101486393
2023-01-12,3,ViaBTC,0.1324503311,1308710.1940800997
2023-01-12,10,Poolin,0.0264900662,261742.0386184047
2023-01-12,8,Braiins Pool,0.0264900662,261742.0386184047
2023-01-13,2,Unknown,0.0125786164,124593.7889918266
2023-01-13,9,BTC.com,0.0251572327,249187.5769931327
2023-01-13,11,BTC M4,0.0062893082,62296.8944959133
2023-01-13,4,F2Pool,0.1194968553,1183640.9904697500
2023-01-13,1,AntPool,0.2012578616,1993500.6159450614
2023-01-13,5,Binance Pool,0.0880503145,872156.5199712247
2023-01-13,0,Foundry USA,0.3836477987,3800110.5493929032
2023-01-13,7,SBI Crypto,0.0188679245,186890.6824972194
2023-01-13,10,Poolin,0.0251572327,249187.5769931327
2023-01-13,3,ViaBTC,0.1132075472,1121344.0969643574
2023-01-14,2,Unknown,0.0058479532,58176.7031964871
2023-01-14,8,Braiins Pool,0.0058479532,58176.7031964871
