Average electricity cost assumption: 0.05 USD/kWh,,,
Date,Lower bound cost of minting USD,Estimated cost of minting USD,Upper bound cost of minting USD
2010-07-18,0.003099919119019474,0.0030999190086122485,0.003099919119019474
2010-07-19,0.003100052540878376,0.003100052430466399,0.003100052540878376
2010-07-20,0.0031001029774668665,0.003100102867053093,0.0031001029774668665
2010-07-21,0.003100128195761112,0.0031001280853464406,0.003100128195761112
2010-07-22,0.0031001433267376587,0.0031001432163224483,0.0031001433267376587
2010-07-23,0.003100152930596086,0.003100152820180533,0.003100152930596086
2010-07-24,0.0031001602048886232,0.0031001600944728118,0.0031001602048886232
2010-07-25,0.003100089367854687,0.003100089257441399,0.003100089367854687
2010-07-26,0.0031000372990591277,0.0031000371886476938,0.0031000372990591277
2010-07-27,0.0032455089835345197,0.0032455088679419425,0.0032455089835345197
2010-07-28,0.003398317519709896,0.003398317398674865,0.003398317519709896
2010-07-29,0.003551145860625983,0.003551145734147793,0.003551145860625983
2010-07-30,0.003704013891944322,0.0037040137600215595,0.003704013891944322
2010-07-31,0.0038568829335495253,0.0038568827961821535,0.0038568829335495253
2010-08-01,0.004009867262321611,0.004009867119505524,0.004009867262321611
2010-08-02,0.004162798776499844,0.004162798628236923,0.004162798776499844
2010-08-03,0.004170214355144612,0.004170214206617577,0.004170214355144612
2010-08-04,0.0041702930820893954,0.004170292933559557,0.0041702930820893954
2010-08-05,0.004212632320067877,0.004212632170030077,0.004212632320067877
2010-08-06,0.004475727972161803,0.0044757278127535455,0.004475727972161803
2010-08-07,0.004739092059612074,0.004739091890823798,0.004739092059612074
2010-08-08,0.005002452372875737,0.005002452194707579,0.005002452372875737
2010-08-09,0.005265418179024756,0.005265417991490764,0.005265418179024756
2010-08-10,0.005528764044960071,0.005528763848046708,0.005528764044960071
2010-08-11,0.0057921099108953844,0.005792109704602652,0.0057921099108953844
2010-08-12,0.00601317546105629,0.0060131752468900535,0.00601317546105629
2010-08-13,0.006013445321093161,0.006013445106917313,0.006013445321093161
2010-08-14,0.00601344532109316,0.006013445106917312,0.00601344532109316
2010-08-15,0.0061150238834649625,0.006115023665671275,0.0061150238834649625
2010-08-16,0.006504684887726954,0.006504684656055036,0.006504684887726954
2010-08-17,0.006894069226297963,0.006894068980757668,0.006894069226297963
2010-08-18,0.00728316070973137,0.0072831604503331305,0.00728316070973137
2010-08-19,0.007672545048302379,0.007672544775035763,0.007672545048302379
2010-08-20,0.008061929386873386,0.008061929099738395,0.008061929386873386
2010-08-21,0.008451313725444396,0.008451313424441028,0.008451313725444396
2010-08-22,0.008739119501643602,0.008739119190389695,0.008739119501643602
2010-08-23,0.008739233268891627,0.008739232957633668,0.008739233268891627
2010-08-24,0.008739140299799058,0.008739139988544411,0.008739140299799058
2010-08-25,0.008739433154936657,0.008739432843671582,0.008739433154936657
2010-08-26,0.008757585694783783,0.008757585382872182,0.008757585694783783
2010-08-27,0.00902987367997824,0.009029873358368787,0.00902987367997824
2010-08-28,0.009302161665172698,0.009302161333865392,0.009302161665172698
2010-08-29,0.009574404617501397,0.009574404276497842,0.009574404617501397
2010-08-30,0.009846621105104423,0.009846620754405561,0.009846621105104423
2010-08-31,0.010118965658296964,0.010118965297898233,0.010118965658296964
2010-09-01,0.010391241998208988,0.01039124162811282,0.010391241998208988
2010-09-02,0.01064537744355632,0.010645377064408821,0.01064537744355632
2010-09-03,0.01064537744355632,0.010645377064408821,0.01064537744355632
2010-09-04,0.01064537744355632,0.010645377064408821,0.01064537744355632
2010-09-05,0.010645420603392589,0.010645420224243552,0.010645420603392589
2010-09-06,0.010645492100984017,0.010645491721832436,0.010645492100984017
2010-09-07,0.010645528502078502,0.01064552812292562,0.010645528502078502
2010-09-08,0.010830794785436599,0.010830794399685246,0.010830794785436599
2010-09-09,0.011049102060004203,0.011049101666477582,0.011049102060004203
2010-09-10,0.011267437769020065,0.011267437367717164,0.011267437769020065
2010-09-11,0.011485773478035926,0.011485773068956746,0.011485773478035926
2010-09-12,0.01170408166718467,0.011704081250330189,0.01170408166718467
2010-09-13,0.011922417376200534,0.01192241695156977,0.011922417376200534
2010-09-14,0.012140751487750833,0.012140751055343846,0.012140751487750833
2010-09-15,0.012173832558691028,0.01217383212510582,0.012173832558691028
2010-09-16,0.012173860993139286,0.012173860559553067,0.012173860993139286
2010-09-17,0.012173860993139288,0.012173860559553067,0.012173860993139288
