Average electricity cost assumption: 0.05 USD/kWh,,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1510012800,2017-11-07T00:00:00,9.337621315196571,0.9969578527520857,2.0444092231229947,81.85358844901315,8.739332537224785,17.92129124989617
1510099200,2017-11-08T00:00:00,9.223863451956001,0.984812169,2.019502706038896,80.85638701984628,8.632863473849346,17.702960721136964
1510185600,2017-11-09T00:00:00,9.252302884950856,0.9878485864682285,2.025729328125235,81.10568708947919,8.659480708980492,17.75754329034581
1510272000,2017-11-10T00:00:00,9.235820948286856,0.9860888453488286,2.0221207192308084,80.96120643268259,8.644054818327831,17.725910224777266
1510358400,2017-11-11T00:00:00,8.71567583,0.9305540637950857,1.9082384529954013,76.40161432820443,8.157236923227721,16.72761827895769
1510444800,2017-11-12T00:00:00,8.091252660023999,0.863885738,1.771525210371342,70.92792081777037,7.572822376462556,15.529189994115184
1510531200,2017-11-13T00:00:00,8.076841499149713,0.8623470888572571,1.768369983872774,70.80159258154639,7.559334580922716,15.501531278628736
1510617600,2017-11-14T00:00:00,7.737559797270856,0.8261227073402286,1.6940865430323164,67.82744918287632,7.241791652544443,14.850362636221288
1510704000,2017-11-15T00:00:00,7.725705340937141,0.8248570323965714,1.6914910897529774,67.72353301865499,7.230696745988344,14.827610892774599
1510790400,2017-11-16T00:00:00,7.628532454357715,0.814482091,1.6702157414758785,66.87171549489972,7.139750011187955,14.64111118977755
1510876800,2017-11-17T00:00:00,8.003698721254285,0.8545377909286428,1.7523558658563485,70.16042299051506,7.490878275280482,15.36115152009675
1510963200,2017-11-18T00:00:00,8.502260569544571,0.9077681729453856,1.8615126207231472,74.53081615262771,7.957495804,16.31801963325911
1511049600,2017-11-19T00:00:00,9.214491800139427,0.9838115778285141,2.0174508460669656,80.77423512002223,8.624092291244754,17.68497411662302
1511136000,2017-11-20T00:00:00,9.526092889690284,1.017080559581743,2.085673803489344,83.50573027102504,8.915728185293558,18.28301656138759
1511222400,2017-11-21T00:00:00,9.926723030734284,1.0598549827116428,2.173389071410784,87.01765408741674,9.290688778,19.051928599986933
1511308800,2017-11-22T00:00:00,9.891111488893713,1.056052814569657,2.165592164454405,86.70548331164228,9.257358972517613,18.983580913607312
1511395200,2017-11-23T00:00:00,9.935625949009715,1.060805528250757,2.175338305334565,87.09569706901915,9.299021260646137,19.06901558
1511481600,2017-11-24T00:00:00,9.772418469,1.043380215,2.1396051281436628,85.66502030104228,9.146270963,18.755778553307348
1511568000,2017-11-25T00:00:00,9.932743716834858,1.0604977984871284,2.174707260034851,87.07043142177436,9.296323701538169,19.06348384146551
1511654400,2017-11-26T00:00:00,9.853031975045143,1.0519871463358712,2.157254911668477,86.37167829324572,9.221719325,18.91049655568587
1511740800,2017-11-27T00:00:00,9.789193643261143,1.0451712642144713,2.143277939388011,85.81207147682717,9.161971302104055,18.78797442
1511827200,2017-11-28T00:00:00,9.620111833529142,1.0271187610897712,2.1062586172705178,84.32990033271645,9.003723059712936,18.46346303899336
1511913600,2017-11-29T00:00:00,9.823019114730856,1.0487827374437284,2.150683798280213,86.10858555973068,9.193629476431724,18.852894175724348
1512000000,2017-11-30T00:00:00,9.893065048482857,1.0562613919479285,2.1660198831535413,86.72260821500072,9.259187362,18.987330295723943
1512086400,2017-12-01T00:00:00,10.17791708603657,1.0866744346410857,2.2283863160107438,89.21962117619658,9.525788094063756,19.534034446150176
1512172800,2017-12-02T00:00:00,10.22186319,1.0913664656608997,2.238008018137476,89.60485268325145,9.566918437983448,19.618378286993117
1512259200,2017-12-03T00:00:00,10.424015321250858,1.1129498167607286,2.282267865163692,91.37691830608502,9.756118093724547,20.006360106024918
1512345600,2017-12-04T00:00:00,10.520696766111428,1.123272287807214,2.303435615590252,92.22442785173278,9.846604874918041,20.191916606264147
1512432000,2017-12-05T00:00:00,10.714059655832571,1.1439172299001856,2.3457711164433723,93.91944694302833,10.027578437305028,20.563029606742596
1512518400,2017-12-06T00:00:00,10.928652066493713,1.1668288025296571,2.3927546777550575,95.80056401,10.228421282974974,20.97488750520083
1512604800,2017-12-07T00:00:00,11.038710334422857,1.1785794883594285,2.416851193392193,96.76533479155077,10.331427794958751,21.18611756127596
1512691200,2017-12-08T00:00:00,11.049663683010857,1.1797489539567285,2.4192493552068024,96.86135184527316,10.341679330384682,21.20713984774283
1512777600,2017-12-09T00:00:00,14.352519599984571,1.2215131018702856,2.653168299046952,125.81418681346476,10.707783850994925,23.25767330944558
1512864000,2017-12-10T00:00:00,17.252392287594855,1.2381179521398287,2.8269728167776527,151.23447079305652,10.853341968457737,24.781243711872907
1512950400,2017-12-11T00:00:00,20.298120475837713,1.257789014598757,3.013030163734847,177.93332409119338,11.025778501972706,26.41222241529967
1513036800,2017-12-12T00:00:00,22.963499031029137,1.2636505112158714,3.157986592968513,201.29803250600145,11.07716038131833,27.682910473961986
1513123200,2017-12-13T00:00:00,26.271665674926854,1.2845420379336285,3.3593290359887527,230.2974213064088,11.260295504526187,29.44787832947741
1513209600,2017-12-14T00:00:00,29.709987292763998,1.3211165710192998,3.5919796399329087,260.4377486083692,11.580907861555184,31.48729352365188
1513296000,2017-12-15T00:00:00,32.672954742857144,1.3355247229647713,3.765540295367124,286.4111212758857,11.707209721509185,33.008726229188206
1513382400,2017-12-16T00:00:00,32.591611542857144,1.3321997756038715,3.756165535729841,285.6980667846857,11.678063232943535,32.92654708620778
1513468800,2017-12-17T00:00:00,33.16101565714286,1.3554744772025284,3.821789050761319,290.6894632505143,11.882089267157365,33.50180281897372
1513555200,2017-12-18T00:00:00,33.877729714285714,1.384770552508357,3.9043899567298093,296.97217867542855,12.138898663288257,34.22588236069351
1513641600,2017-12-19T00:00:00,34.117273714285716,1.394562043261357,3.931997272676973,299.0720213794285,12.224730871229054,34.467888092286344
1513728000,2017-12-20T00:00:00,33.41568617142857,1.3658842724204856,3.8511396892674483,292.9219049787428,11.973341532037978,33.759090516118455
1513814400,2017-12-21T00:00:00,32.613515657142855,1.3330951181400283,3.7586899730091234,285.89007825051425,11.68591180561549,32.94867630339798
1513900800,2017-12-22T00:00:00,32.97943611428571,1.3480523150326569,3.8008621070299013,289.09773697782856,11.817026593576271,33.31835723022412
1513987200,2017-12-23T00:00:00,32.78033828571428,1.3399140834451426,3.7779161903809118,287.3524454125714,11.745686855480121,33.117213324879074
1514073600,2017-12-24T00:00:00,32.61665417142857,1.3332234066114859,3.7590516850765954,285.9175904667428,11.687036382356283,32.95184707138144
1514160000,2017-12-25T00:00:00,31.573145142857136,1.2905694098345715,3.638787836073953,276.7701903222857,11.313131446609853,31.89761417102428
1514246400,2017-12-26T00:00:00,31.636993714285712,1.2931792547763572,3.6461463492665342,277.3298868994286,11.336009347369545,31.962118897670443
1514332800,2017-12-27T00:00:00,32.27547977142857,1.3192777182086854,3.7197315207064423,282.9268556763428,11.564788477817336,32.60716651051268
1514419200,2017-12-28T00:00:00,32.81819314285714,1.3414614212355715,3.7822789421145293,287.6842810902857,11.759250818551019,33.15545720657597
1514505600,2017-12-29T00:00:00,33.137435999999994,1.3545106459444998,3.819071508077433,290.482764,11.873640322349488,33.47798083980678
1514592000,2017-12-30T00:00:00,33.392830628571424,1.3649500397261143,3.848505600361857,292.72155329005716,11.965152048239117,33.73600009277204
1514678400,2017-12-31T00:00:00,33.74399794285714,1.3793041939131714,3.888977442678101,295.7998859670857,12.09098056384286,34.090776262516236
1514764800,2018-01-01T00:00:00,34.55089782857142,1.4122866638125142,3.878464327122493,302.8731703652571,12.38010489,33.99861829155578
1514851200,2018-01-02T00:00:00,35.64583097142857,1.4570426491155857,3.8907994325019466,312.4713542955429,12.772435862147223,34.10674782531207
1514937600,2018-01-03T00:00:00,35.83303645714285,1.4646947747471284,3.8078409124569066,314.1123975833143,12.839514395433328,33.37953343859725
1515024000,2018-01-04T00:00:00,36.60575931428571,1.496280240091057,3.7850389198975125,320.88608614902853,13.116392584638206,33.17965117
1515110400,2018-01-05T00:00:00,36.044859085714286,1.4733531394272428,3.6251831097447536,315.9692347453714,12.91541362021921,31.778355140022516
1515196800,2018-01-06T00:00:00,36.88143051428572,1.5075484497129568,3.6097396303779403,323.30261988822855,13.215169710183782,31.642977599893023
1515283200,2018-01-07T00:00:00,37.009732799999995,1.5127928751385997,3.516663442,324.4273177,13.261142343464966,30.827071732053497
1515369600,2018-01-08T00:00:00,37.356669257142855,1.5269740907482283,3.5496293312679614,327.4685627081143,13.38545487949897,31.116050717894954
1515456000,2018-01-09T00:00:00,37.126275428571425,1.5175566182087141,3.5277373181976612,325.44893040685713,13.302901315217591,30.924145331320698
1515542400,2018-01-10T00:00:00,37.422495771428565,1.5296647851756855,3.555884164220956,328.04559793234284,13.40904150685006,31.170880583560905
1515628800,2018-01-11T00:00:00,38.24532994285714,1.563298577634671,3.6340698367595743,335.2585622790857,13.70387533154553,31.85625618903443
1515715200,2018-01-12T00:00:00,39.397297714285706,1.610385884274357,3.7435297717979843,345.35671176342856,14.116642661549013,32.81578197958113
1515801600,2018-01-13T00:00:00,39.31304297142857,1.6069419260220859,3.735523889247656,344.61813468754286,14.086452923509606,32.74560241314496
1515888000,2018-01-14T00:00:00,39.86648468571428,1.6295641558744427,3.788111900471386,349.46960475497144,14.284759390395367,33.206588919532166
1515974400,2018-01-15T00:00:00,40.09842137142857,1.6390446935353857,3.810150515770342,351.50276174194283,14.36786578353119,33.39977942124282
1516060800,2018-01-16T00:00:00,40.73791817142857,1.6651844716294857,3.870915478056105,357.10859069074286,14.59700707830407,33.932445080639816
1516147200,2018-01-17T00:00:00,37.701939578821715,1.7010500266200572,3.861251567987781,330.4952023479512,14.91140453335142,33.847731244980885
1516233600,2018-01-18T00:00:00,33.86452036184914,1.7099034166845712,3.7854520707055204,296.85638549196955,14.98901335065695,33.18327285180459
1516320000,2018-01-19T00:00:00,30.404507756523426,1.7265206277179141,3.7321573639556314,266.52591499368435,15.134679822575235,32.71609145243506
1516406400,2018-01-20T00:00:00,27.546861474037712,1.780212085844657,3.7578036209363623,241.4757876814146,15.605339144514263,32.94090654112815
1516492800,2018-01-21T00:00:00,24.379829831811428,1.8298779991693144,3.7690780295380564,213.7135883,16.040710540718205,33.03973801
1516579200,2018-01-22T00:00:00,21.111914553490283,1.8562630164989429,3.737375504170776,185.06704297589587,16.272001602629732,32.76183366956103
1516665600,2018-01-23T00:00:00,17.64763353,1.8842000804813999,3.7037097855049166,154.69915555364415,16.516897905499953,32.466719979736105
1516752000,2018-01-24T00:00:00,17.77846440221486,1.8981686124726285,3.7311672668844063,155.84601894981543,16.63934605693506,32.70741226150871
1516838400,2018-01-25T00:00:00,17.812596499714285,1.901812823507143,3.7383305719966358,156.14522091649542,16.67129121086361,32.77020579412251
1516924800,2018-01-26T00:00:00,18.04672831,1.926810576,3.7874678280333347,158.19762039035544,16.890421512187675,33.20094298054021
1517011200,2018-01-27T00:00:00,18.12585227,1.9352584716871999,3.804073576537525,158.8912209745557,16.964475762809993,33.34650897192794
1517097600,2018-01-28T00:00:00,18.091130544678855,1.9315513076470285,3.796786526784005,158.58685035465484,16.931978762833854,33.28263069378858
1517184000,2018-01-29T00:00:00,18.177292721550856,1.9407506589532282,3.8148693874133097,159.3421479971148,17.012620276384002,33.441145050065074
1517270400,2018-01-30T00:00:00,18.440805241326853,1.9688853269828284,3.8701727739127625,161.65209874547122,17.259248776331475,33.925934536119264
1517356800,2018-01-31T00:00:00,17.869596913522283,1.9078986357539427,3.7502932518652514,156.64488654393634,16.72463944101906,32.87507064585079
